证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
831125.OC,2010,2014-08-29,广州证券股份有限公司,非高新产业区,仪器仪表制造业,,2014,8,欧安电气,56688451.12,28058087.45,45351099.04,32649941.5,1745355.67,2942998.68,445782.5,5823259.16,,,-1781885.89,10551770.66,19128428.03,10.8921,918842.27,,-2431899.19,-10020982.03,3507239.36,,,挂牌前,-4
831131.OC,2008,2014-09-02,海通证券股份有限公司,非高新产业区,黑色金属矿采选业,,2014,9,兴宏泰,650978433.22,491438465.17,652311892.79,208959432.83,81115176.58,46538070.95,6723060.41,240957353.92,-1525600.0,242483000.0,83368984.01,73270109.39,104064764.88,42.8456,,,,,,,,挂牌前,-4
831154.OC,2010,2014-09-19,万联证券有限责任公司,非高新产业区,生态保护和环境治理业,,2014,9,益方田园,7672472.2,2929952.86,13557144.51,11176001.1,313051.94,1773979.23,-5588.03,-138343.93,,,1961029.51,2592941.66,458613.22,-1.8031,209645.47,,-74135.29,2229758.0,-385905.8,,,挂牌前,-4
831171.OC,2010,2014-10-08,广发证券股份有限公司,非高新产业区,食品制造业,,2014,10,海纳生物,55715490.67,29591216.11,110233908.23,84024934.69,9870498.31,5456677.45,674537.29,9599558.24,,,1898610.25,18333359.21,4765023.75,16.9861,,,,,,,,挂牌前,-4
831261.OC,2010,2014-11-03,海通证券股份有限公司,非高新产业区,汽车制造业,,2014,11,天海科技,33428300.0,8204100.0,14108400.0,,,,,-2168400.0,,,2500400.0,,,,,,,,,,,挂牌前,-4
831262.OC,2010,2014-11-04,安信证券股份有限公司,非高新产业区,建筑装饰和其他建筑业,,2014,11,广建装饰,38214735.23,6792383.31,40880659.17,40051256.69,,3472859.18,1159966.68,-6116839.54,,,-19544845.18,16655950.52,469592.68,-16.0962,,,,,,2011-12-23,2010-12-31,挂牌前,-4
831289.OC,2010,2014-11-07,西南证券股份有限公司,非高新产业区,铁路、船舶、航空航天和其他运输设备制造业,,2014,11,丰泽股份,129170164.55,81267916.02,102871296.05,81956620.68,,2075521.35,2415166.04,10030227.85,,,-32348663.77,60762510.92,14400513.98,10.2853,1557400.0,,419238.77,-50497121.97,3610134.07,,,挂牌前,-4
831387.OC,2010,2014-12-02,中泰证券股份有限公司,非高新产业区,专用设备制造业,,2014,12,华特磁电,,,174580000.0,,,,,,,,,,,,,,,,,,,挂牌前,-4
831434.OC,2010,2014-12-30,长城证券股份有限公司,非高新产业区,专用设备制造业,,2014,12,巨创计量,21468255.34,8795293.17,23524722.2,15633583.69,1756498.36,2728994.78,63896.44,2380435.26,,,,8404603.38,1624244.84,11.0581,339380.93,,4408914.82,-5290387.1,-4115735.35,,,挂牌前,-4
831475.OC,2010,2014-12-16,国金证券股份有限公司,非高新产业区,通用设备制造业,,2014,12,春晖智控,406931507.07,80536186.84,281036151.3,266722968.82,9417018.35,16615561.05,8517755.63,15292437.18,,,20183339.36,69611566.26,69925478.36,3.758,,,,,,,,挂牌前,-4
831610.OC,2010,2015-01-19,信达证券股份有限公司,中关村科技园区,专业技术服务业,,2015,1,中成新星,345539048.89,243583948.58,139719415.71,75117353.17,,18088305.05,7500976.28,30746816.42,,,6081139.79,138144568.65,128954798.51,8.8019,,,,,,,,挂牌前,-4
