证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
834777.OC,2006,2015-12-15,国泰君安证券股份有限公司,中关村科技园区,商务服务业,,2015,12,中投保,3869775347.8,3180581380.92,88028644.71,19371810.4,86662.77,110954325.53,-8786953.01,73322165.64,,,-140114613.19,23123808.56,79124338.38,1.8961,5904274.05,,,-15107450.3,-101453848.68,,,挂牌前,-9
834777.OC,2007,2015-12-15,国泰君安证券股份有限公司,中关村科技园区,商务服务业,,2015,12,中投保,4584999870.54,3759103700.71,128527352.51,16704164.48,595508.43,187369536.21,-31176037.9,582964348.37,,,38168514.03,19234393.45,76110660.03,13.8243,5590510.62,,,-41715841.56,185475712.22,,,挂牌前,-8
834777.OC,2008,2015-12-15,国泰君安证券股份有限公司,中关村科技园区,商务服务业,,2015,12,中投保,4864713912.27,3852856079.85,206185851.62,13793024.35,,180106393.19,-19985612.13,180249445.77,,,115475952.62,122957857.62,71161783.2,3.8276,5462209.4,,,266395587.43,-109155173.69,,,挂牌前,-7
834777.OC,2009,2015-12-15,国泰君安证券股份有限公司,中关村科技园区,商务服务业,,2015,12,中投保,5465636014.65,4172959172.55,221253132.13,19363846.83,,166943814.37,-28689975.64,188211886.11,,,90712417.61,141498850.98,102032262.08,3.6263,7978938.01,,-10939.9,-118509701.69,229589051.94,,,挂牌前,-6
834777.OC,2010,2015-12-15,国泰君安证券股份有限公司,中关村科技园区,商务服务业,,2015,12,中投保,6253525827.85,4949454480.09,272026190.05,9286971.97,,206469202.41,-38632998.94,156733571.83,,,357518810.91,9195926.5,105262795.21,2.594,7444902.29,1110116.71,10939.9,149910357.67,171635615.31,,,挂牌前,-5
834937.OC,2010,2016-01-07,东北证券股份有限公司,非高新产业区,仪器仪表制造业,,2016,1,晨辉科技,16521139.7,2362276.54,13579284.17,11065779.24,20466,2440196.14,-5238.94,467739.85,,,-499166.75,2609452.1,3980501.87,2.8312,268813.93,,-119879.7,3132488.72,-4411214.43,,,挂牌前,-5
834994.OC,2010,2016-01-27,招商证券股份有限公司,非高新产业区,化学原料和化学制品制造业,,2016,1,金象赛瑞,2645802213.48,908473400.94,1618516893.84,1193250884.92,25431441.92,74191988.64,36387100.8,263226210.08,,,349845057.94,66190449.52,1273736924.96,11.1063,162484549.12,1757343.17,-27862184.74,-196054686.57,81267749.76,,,挂牌前,-5
835024.OC,2005,2015-12-14,招商证券股份有限公司,非高新产业区,农业,,2015,12,七彩云南,,,279490000,,,,,,,,,,,,,,,,,,,挂牌前,-7
835024.OC,2006,2015-12-14,招商证券股份有限公司,非高新产业区,农业,,2015,12,七彩云南,,,391684200,,,,,,,,,,,,,,,,,,,挂牌前,-6
835024.OC,2007,2015-12-14,招商证券股份有限公司,非高新产业区,农业,,2015,12,七彩云南,,,382230000,,,,,,,,,,,,,,,,,,,挂牌前,-5
835025.OC,2009,2016-01-08,华福证券有限责任公司,非高新产业区,农业,,2016,1,农凯股份,16697343.19,4529779.41,3539464.07,3091852.79,264380.24,581165.76,69130.45,-470220.59,,,3998031.3,469730,6803678.97,-2.8161,62164.53,,-1171213.38,-2661948.04,8167563.78,,,挂牌前,-6
835025.OC,2010,2016-01-08,华福证券有限责任公司,非高新产业区,农业,,2016,1,农凯股份,32273073.21,6754456.46,13487707.86,8297083.34,1522933.98,702164.22,722715.14,2224677.05,,,-5938386.61,5698752.94,9147290.01,9.0858,633695.99,,-1859566.78,-4011424.99,-3648947.03,,,挂牌前,-5
