证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430750.OC,2013,2014-05-29,中国银河证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2014,5,欣易晨,23064900.86,5821421.24,3668451.51,1866695.12,689404.75,1180459.52,-63160.54,-172994.21,0,-172994.21,-1527250.59,1015288.75,101163.67,-1.1543,79109.17,,-13118652.79,-3690532.44,15292496.92,2014-06-09,2013-12-31,挂牌前,0
430751.OC,2013,2014-05-30,国信证券股份有限公司,南京高新区,计算机、通信和其他电子设备制造业,,2014,5,赛格微,57999001.56,21565258.91,39807375.22,30805055.82,2563845.05,12982581.17,1180446.92,-5652670.41,,,2407820.62,24974573.57,10264119.54,-9.7357,1589812.14,8600,-6057995.64,10311877.79,3340697.08,2014-05-30,2013-12-31,挂牌前,0
430752.OC,2013,2014-05-30,长江证券股份有限公司,武汉东湖高新区,电气机械和器材制造业,,2014,5,索泰能源,16897385.13,5385034.86,19586741.13,15089108.28,700819.29,1862971.48,316343.79,948266.44,2774.42,945492.03,-1534458.84,7619929.09,944354.63,7.101,86152.87,77001.57,672040.1,-2323503.06,-1086383.57,2014-05-30,2013-12-31,挂牌前,0
430754.OC,2013,2014-05-30,西部证券股份有限公司,中关村科技园区,电信、广播电视和卫星传输服务,,2014,5,波智高远,16705161.7,9843172.53,10607645.16,9389459.24,494073.51,3337506.67,-5109.46,-2294826.77,300683.88,-2595510.65,-556879.84,1520404.8,297215.71,-12.9024,33402.32,,-4261435.3,5795738.66,-550578.23,2014-06-09,2013-12-31,挂牌前,0
430755.OC,2013,2014-05-30,国泰君安证券股份有限公司,深圳高新区,计算机、通信和其他电子设备制造业,,2014,5,华曦达,51498967.26,30913068.29,55079151.19,39654846.44,2538374.36,11854156.85,-172605.79,4668612.37,4009521.99,659090.38,-491915.1,19810936.81,3194171.05,10.0728,770377.52,32327.02,-3804364.62,-3580189.96,1284875.26,2014-06-24,2013-12-31,挂牌前,0
430756.OC,2013,2014-05-30,华泰证券股份有限公司,中关村科技园区,专业技术服务业,,2014,5,科电瑞通,22117257.35,11162318.58,16431483.95,10455934.15,1252197.44,3355082.08,78168.09,784951.85,39889.36,745062.49,-6045537.01,11284978.93,295545,3.9453,686487.42,32110.98,-4813785.67,-7638994.64,4464278.95,2014-07-01,2013-12-31,挂牌前,0
430757.OC,2013,2014-05-30,中信建投证券股份有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2014,5,天翔昌运,25498390.44,8625659.84,17262440.75,11665069.1,86703,1498934.94,-39471.72,1941239.55,71272.5,1869967.05,1080507.71,12423402.89,92488.94,14.7836,24644.16,,-209975.22,-7124779.88,5645973.46,2014-05-30,2013-12-31,挂牌前,0
430758.OC,2013,2014-05-30,国联证券股份有限公司,西安高新区,软件和信息技术服务业,,2014,5,四联智能,507020014.61,206568418.25,482284517.23,422928815.08,4529312.95,23563340.54,4446003.72,14467176.6,3240384.08,11226792.52,-85356500.71,111282034.86,14623306.74,3.1258,1096212.37,,-84415164.14,-104081107.04,79959198.65,2014-06-06,2013-12-31,挂牌前,0
430759.OC,2013,2014-05-30,国信证券股份有限公司,非高新产业区,铁路、船舶、航空航天和其他运输设备制造业,,2014,5,凯路仕,196150961.75,26030742.96,215388476.49,168707804.29,3399590.07,13771023.26,5789740.16,18991168.24,362127.95,18629040.29,-60632636.04,45634474.48,5633264.29,14.3061,816972.17,,-36986438.4,-26988163.05,-23642945.17,2014-06-12,2013-12-31,挂牌前,0
430760.OC,2013,2014-05-29,平安证券有限责任公司,武汉东湖高新区非上市股份有限公司,技术硬件与设备,2015-01-16,2014,5,奥新科技(退市),169844059.48,115567230.25,187274783.85,130206015.67,7381843.62,24842362.74,2244776.04,19819942.69,2027657.84,17792284.85,38568025.02,27894321.36,37294616.69,12.5317,5159507.12,,-6487104.81,2330144.96,16331924.97,2014-06-11,2013-12-31,挂牌前,0
430762.OC,2013,2014-07-17,平安证券有限责任公司,非高新产业区,畜牧业,,2014,7,荣昌育种,206617811.69,61543803.99,98752215.89,59523563.3,4010759.25,6514630.26,10157801.14,12734731.5,2218245.53,10731817.24,18792499,28952.88,59191176.19,8.8884,8255870.24,630542.7,1656120.99,-35648552.72,14145706.18,2014-07-18,2013-12-31,挂牌前,0
430763.OC,2013,2014-05-30,西部证券股份有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2014,5,爱科迪,51252100.66,43848815.85,41500475.23,23707416.75,2592629.45,11348676.21,33508.97,2916593.33,177888.83,2738704.5,4797053.38,12676008.06,2244890.64,7.0991,641316.11,133705.78,3002204.32,-6461452.37,4578708.03,2014-06-03,2013-12-31,挂牌前,0
830767.OC,2013,2014-05-30,国泰君安证券股份有限公司,非高新产业区,互联网和相关服务,,2014,5,网虫股份,12787794.72,12388075.22,5964695.31,2540172.36,776772.55,2752195.2,13615.13,647477.42,,,6413664.71,2433135.96,2264545.17,5.0301,252962.16,,,6210452.12,-818523.2,2014-06-09,2013-12-31,挂牌前,0
830773.OC,2013,2014-05-30,南京证券股份有限公司,洛阳高新区,专用设备制造业,,2014,5,正扬股份,58129463.46,32834899.23,18425384.55,11881732.88,1716239.42,4146490.94,-260938.23,586453.45,197875.21,388578.24,23080311.84,9273455.1,4043226.94,0.7663,424906.35,,-6033030.19,27183281.86,506097.68,2014-06-17,2013-12-31,挂牌前,0
830775.OC,2013,2014-05-30,太平洋证券股份有限公司,非高新产业区,化学原料和化学制品制造业,,2014,5,吉华材料,57549775.2,29207577.36,89476223.47,58492926.95,3806947.05,11940076.67,687326.24,11992958.93,27533.45,11965425.48,6916044.63,41966217.77,1653641.54,22.6804,288859.23,,-2343499.94,-7608870.54,3568082.28,2014-06-16,2013-12-31,挂牌前,0
830778.OC,2013,2014-06-04,平安证券有限责任公司,非高新产业区,商务服务业,,2014,6,博思堂,31983198.33,17936550.46,109330222.49,51050281.63,8461419.95,32150784.99,44438.66,11376068.38,232896.98,11143171.4,8515718.2,10445887.25,1903042.17,41.3032,1043187.81,108699.65,,-1980529.81,-2218421.2,2014-06-03,2013-12-31,挂牌前,0
830780.OC,2013,2014-06-09,申万宏源证券有限公司,重庆高新区,软件和信息技术服务业,,2014,6,永鹏科技,256945420.14,54221733.88,245922835.2,206980967.18,7149481.39,22423761.32,11862662.53,-4492514.65,3328902.75,-7821417.4,13131816.96,156571398.45,6920114.85,-3.4867,3336042.2,13822.65,9035900.58,-41472062.2,35488588.04,2014-06-09,2013-12-31,挂牌前,0
830781.OC,2013,2014-06-04,东兴证券股份有限公司,非高新产业区,商务服务业,,2014,6,精鹰传媒,5881632.33,5601875.75,8175076.36,5490622.22,277945.5,1704117.21,-1216.23,544667.22,-173.76,544840.98,-893135.81,1133982.6,356766.83,12.8424,163665.58,115199.96,,-539158.14,-1184836.43,2014-09-25,2013-12-31,挂牌前,0
830785.OC,2013,2014-06-05,新时代证券股份有限公司,非高新产业区,农副食品加工业,,2014,6,冰洋科技,50930095.72,49797808.1,32274370.2,27443158.76,791950.99,2621593.17,994172.11,190761.09,,,-6017870.4,838628.6,20594102.53,0.4546,1916181.71,,2037118.71,-9032526.51,-1962498.72,2014-06-11,2013-12-31,挂牌前,0
830787.OC,2013,2014-06-04,中国中投证券有限责任公司,福州高新区,印刷和记录媒介复制业,,2014,6,唐朝股份,34198408.19,20524628.97,30421627.57,27106809.95,34500,1736229.41,783028.34,448417.37,0,448417.37,-2581440.91,4638090.84,14876896.67,1.4486,2480782.32,,166887.66,-7019254.84,523201.87,2014-06-30,2013-12-31,挂牌前,0
830790.OC,2013,2014-06-10,东北证券股份有限公司,长春高新区,仪器仪表制造业,,2014,6,希迈气象,51529599.31,41987747.39,29220825.67,15025011.65,1298606.78,9500132.68,-308847.19,6408157.05,3492927.83,2915229.22,632837.97,3950198.98,1877269.51,13.1752,289299.96,26666.67,-4480171.4,-1108428.9,-464801.55,2014-07-07,2013-12-31,挂牌前,0
830799.OC,2013,2014-06-09,光大证券股份有限公司,非高新产业区,软件和信息技术服务业,,2014,6,艾融软件,24443676.7,10476951.55,29475969.94,14843669.87,3232684.01,5938602.12,303999.61,4580553.26,143037.13,4437516.13,1182552.36,10252564.88,233969.14,23.1629,21772.92,47509.31,-3731233.29,-2956209.17,2806375.49,2014-06-27,2013-12-31,挂牌前,0
830800.OC,2013,2014-06-10,西南证券股份有限公司,非高新产业区,土木工程建筑业,,2014,6,天开园林,975612506.27,340442005.52,672403112.26,476703457.86,2932348.02,81606712.59,9577202.7,54806113.77,-100675.48,54906800,-34586057.16,108572698.98,17194835.25,6.4401,3589445.1,2873942.74,-92247712.37,-129839766.83,116004184.8,2014-05-30,2013-12-31,挂牌前,0
830801.OC,2013,2014-06-06,中国中投证券有限责任公司,非高新产业区,商务服务业,,2014,6,盈富通,13183996,10647486.85,7818341.91,4925759.11,334713.01,2135581.95,6278.79,804765.2,200000,604765.2,6345929.33,1271654.37,5587224.53,4.5474,401778.67,,-640332.96,6241777.14,64529.74,2014-07-03,2013-12-31,挂牌前,0
830805.OC,2013,2014-06-10,光大证券股份有限公司,非高新产业区,通用设备制造业,,2014,6,德马科技,271338261.75,21277578.67,319189265.36,236432909.49,17416005.19,46924185.71,9491523.45,8917453.03,3741660.46,5175792.57,3303875.49,78910657.51,48724504.89,3.7736,4948815.16,403285.97,-17192746.35,-42781175.79,38962311.14,2014-06-26,2013-12-31,挂牌前,0
830806.OC,2013,2014-06-06,中泰证券股份有限公司,昆明高新区,软件和信息技术服务业,,2014,6,ST亚锦,6643608.27,5384049.91,3519133.21,1819232.05,778920.31,644516.06,271.16,132844.98,18480,114364.98,4327724.63,1284529.5,1255862.63,2.1538,100375.47,22833.34,,3606035.08,380564.76,2014-09-24,2013-12-31,挂牌前,0
830819.OC,2013,2014-06-24,中银国际证券有限责任公司,中关村科技园区,软件和信息技术服务业,,2014,6,致生联发,74411410.98,50591828.68,59753687.25,41747142.12,243418.81,13444212.48,283259.17,4604302.54,465182.37,4139120.17,-13305167.35,14542716.1,1137444.98,7.0687,351597.56,956370.86,-2984645.03,-30492391.49,9033471.58,2014-08-06,2013-12-31,挂牌前,0
830825.OC,2013,2014-06-27,中信建投证券股份有限公司,非高新产业区,橡胶和塑料制品业,,2014,6,和泰塑胶,54873029.12,15920296.33,82630150.22,71735124.27,2754012.13,3392168.47,2399754.39,1728025.71,178788.28,1549237.43,5880954.11,13750005.95,13149163.46,3.5513,1418949,96577.61,-4475461.16,-3421325.77,7954822.4,2014-06-24,2013-12-31,挂牌前,0
832004.OC,2014,2015-06-17,中信建投证券股份有限公司,中关村科技园区,仪器仪表制造业,,2015,6,海林节能,550641973.23,276202631.5,426294387.44,283249367.14,50210099.36,48926427.54,4488076.11,30985115.01,4942817.48,26042297.53,52014925.93,215335383.07,96295964.35,5.9557,8090062.37,2864943.06,880079.04,-63273437.47,61950695.61,2015-06-20,2014-12-31,挂牌前,0
832066.OC,2014,2015-06-09,中原证券股份有限公司,非高新产业区,家具制造业,,2015,6,和道股份,97009656.32,26876176.62,28138102.09,23309369.63,1013679.39,4604479.82,1687541.36,-2091526.05,1879603.91,-3971129.96,3507260.03,3089008.29,21668489.35,-2.3529,1322293.12,32000.04,-4212799.95,-1766718.62,11481025.6,2015-07-01,2014-12-31,挂牌前,0
832337.OC,2014,2015-05-12,招商证券股份有限公司,非高新产业区,商务服务业,,2015,5,环渤海,943967325.75,262552876.78,206650487.14,83247575.17,12254611.11,46596002.75,25186316.36,33536240.55,1250736.62,32285503.93,124381690.17,,56505407.08,3.6011,44393518.31,,,15406555.17,16419011.46,2015-05-12,2014-12-31,挂牌前,0
832347.OC,2014,2015-05-07,山西证券股份有限公司,非高新产业区,专用设备制造业,,2015,5,太矿电气,356978094.91,210919953.93,55867261.8,31727016.43,3261799.42,7777988.71,151375.5,2634573.7,-3369013.27,6003586.97,23713200.66,138066972.6,575809.66,0.8093,317675.98,135868.44,-940232.65,19898414.98,-4555462.47,2015-04-29,2014-12-31,挂牌前,0
832355.OC,2014,2015-05-08,西南证券股份有限公司,济宁高新区,软件和信息技术服务业,,2015,5,动脉智能,44126804.12,12473240.38,55131188.31,47798000.96,823078.29,4729077.93,516776.46,619461.73,-326.57,619788.3,5782327.21,18229260.28,1341035.46,1.4702,178367.13,,-6294666.8,10762301.67,-65452.28,2015-05-29,2014-12-31,挂牌前,0
832360.OC,2014,2015-05-04,中信建投证券股份有限公司,非高新产业区,电气机械和器材制造业,,2015,5,智达光电,50757507.61,29132682.16,35746986.16,20373392.08,1985935.95,6614858.93,344092.56,3556158.06,1396341.28,2159816.78,6285030.23,36909924.02,997181.23,7.3354,406692.36,,7170710.26,-11552512.41,4531511.43,2015-05-20,2014-12-31,挂牌前,0
832372.OC,2015,2015-04-14,西藏同信证券股份有限公司,非高新产业区,电力、热力生产和供应业,,2015,4,西藏能源,221976455.14,46256791.24,4966015.48,2926799.01,673406.73,9332918.91,444374.64,-8217457.54,1627549.29,-9845006.83,-14965323.84,12507417.15,27310110.04,-5.746,1530989.78,25995.27,-3480628.35,10999187.45,-17654213.73,2016-04-01,2015-12-31,挂牌后,0
832373.OC,2014,2015-05-27,安信证券股份有限公司,非高新产业区,金属制品业,,2015,5,美特桥架,307095768.7,90156153.5,95242098.78,61153249.71,10815201.46,12933835.02,9663026.81,1434293.8,428233.09,1006060.71,40940134.45,85620471.73,24896794.52,0.5076,2436906.3,,-19853475.68,4601342.17,43466365,2015-05-27,2014-12-31,挂牌前,0
832374.OC,2014,2015-05-13,国金证券股份有限公司,非高新产业区,金属制品业,,2015,5,丽岛新材,678636701.01,554688154.47,1157400135.19,1019948853.6,18754070.12,33623272.45,385535.7,60876149.25,1896559.76,58979589.49,78244600.44,156599345.87,145733232.75,9.1886,15104970.22,98439.2,32481003.58,1384217.17,-36040623,2015-06-12,2014-12-31,挂牌前,0
832376.OC,2014,2015-05-06,财达证券有限责任公司,非高新产业区,医药制造业,,2015,5,天原药业,168483404.32,55455071.3,69237734.22,50920737.86,2906066.29,8987354.29,4842090.85,2512651.47,1663861.51,848789.96,2975106.63,5185813.68,48786213.96,1.6833,4593987.22,,-37350476.78,3338452.42,18435052.89,2015-05-22,2014-12-31,挂牌前,0
832377.OC,2014,2015-05-12,国信证券股份有限公司,非高新产业区,建筑装饰和其他建筑业,,2015,5,创一佳,126197232.46,72857004.88,128125935.8,101340168.08,6139783.08,5853997.35,-250648.4,8906481.72,-320094.77,9226576.49,-38239057.2,95715598.07,769655.38,8.3884,371524.38,48888.89,-3654729.76,-33257470.32,-10541599.13,2015-05-11,2014-12-31,挂牌前,0
832383.OC,2014,2015-05-05,长江证券股份有限公司,非高新产业区,道路运输业,,2015,5,大通物流,568247390.48,309070124.91,226249948.16,186146174.3,7165973.91,19069634.58,4263928.49,5003341.66,951574.02,4051767.64,-47861827.66,156829001.29,163870272.91,0.9641,26760696.95,69750.16,-5685268.13,-75732275.24,-12059626.82,2015-06-09,2014-12-31,挂牌前,0
832385.OC,2014,2015-05-20,财富证券有限责任公司,长沙高新区,商务服务业,,2015,5,快乐传媒,42830599.48,42822733.68,12541067.73,7056974.96,2123014.27,1765684.28,-18679.28,1042613.86,,,-4266393.57,309690,18670119.84,4.6637,794494.84,13690,-19570,-5696931.33,-353238.58,2015-05-20,2014-12-31,挂牌前,0
832386.OC,2014,2015-05-04,英大证券有限责任公司,非高新产业区,计算机、通信和其他电子设备制造业,,2015,5,深凯瑞德,64057032.45,16912099.65,205044949.99,178903416.58,4920511.33,11398276.94,1095257.74,6908559.79,22478.46,6886081.33,93866.37,29901990.37,2003424.6,11.4366,558402.33,,10462709.6,-5218053.12,-14026061.58,2015-05-18,2014-12-31,挂牌前,0
832387.OC,2014,2015-05-12,天风证券股份有限公司,武汉东湖高新区,卫生,,2015,5,大众口腔,41362755.47,23944997.52,34781918.91,18794023.62,6887809.28,6538586.84,81534.95,2323432.69,25351.14,2298081.55,1936219.73,2694392.74,31568167.54,8.5329,1468380.87,1636055.71,-578209.22,-9136533.45,6196771.72,2015-06-08,2014-12-31,挂牌前,0
832388.OC,2014,2015-05-05,国元证券股份有限公司,非高新产业区,计算机、通信和其他电子设备制造业,,2015,5,龙磁科技,499508609.77,206996937.62,366856605.03,263267593.97,23392577.79,40891282.82,15041058.71,23254114.85,3759039.91,19495074.94,45207525.47,92436677.83,195340494.26,4.9558,17178600,,2710300,-16744000,4118800,2015-06-04,2014-12-31,挂牌前,0
832389.OC,2014,2015-05-06,申万宏源证券有限公司,非高新产业区,计算机、通信和其他电子设备制造业,,2015,5,睿思凯,61777481.96,52255018.26,57240202.78,21439211.24,2767234.86,8174803.29,-61943.89,23344023.4,1073552.99,22270470.41,23593491.68,197328.11,16672204.86,50.8077,1469304.78,,-2572168.19,-686196.62,2984834.87,2015-05-06,2014-12-31,挂牌前,0
