主办券商,主营产品,可交易股份总量(万股),总市值(万元),所属Wind行业,所属园区,所属证监会行业,挂牌日期,摘牌日期,最新成交价(元),最新成交日,终止上市原因,股份总量(万股),证券代码,证券简称,转让方式
东北证券股份有限公司,专用设备与零部件,6655.315,37800.0,资本货物,非高新产业区,通用设备制造业,2014-11-21,,3.5,2016-01-28 00:00:00,,10800.0,831365.OC,华意隆,协议转让
渤海证券股份有限公司,锅炉及附属设备、专用设备与零部件,1500.0,72225.0,资本货物,非高新产业区,通用设备制造业,2014-11-21,,10.7,2016-04-14 00:00:00,,6750.0,831372.OC,宝成股份,做市转让
国信证券股份有限公司,电子设备及加工,3577.8093,49028.0,资本货物,非高新产业区,电气机械和器材制造业,2014-11-21,,6.8,2016-04-14 00:00:00,,7210.0,831373.OC,电科电源,做市转让
东吴证券股份有限公司,专用设备与零部件,2971.1875,18986.4,资本货物,非高新产业区,专用设备制造业,2014-11-21,,2.93,2016-03-15 00:00:00,,6480.0,831375.OC,三强股份,做市转让
湘财证券股份有限公司,专用设备与零部件,3452.1894,101500.0,资本货物,中关村科技园区,通用设备制造业,2014-11-20,,14.5,2016-04-14 00:00:00,,7000.0,831344.OC,中际联合,协议转让
招商证券股份有限公司,智能商用设备,756.0,,软件与服务,非高新产业区,软件和信息技术服务业,2014-11-20,,,,,3024.0,831356.OC,中电智能,协议转让
中泰证券股份有限公司,互联网服务,1366.12,14935.2616,软件与服务,中关村科技园区,软件和信息技术服务业,2014-11-20,,7.18,2016-04-13 00:00:00,,2080.12,831369.OC,帜扬信通,做市转让
东北证券股份有限公司,休闲食品,6383.6999,283556.7,食品、饮料与烟草,非高新产业区,农副食品加工业,2014-11-20,,12.6,2015-12-16 00:00:00,,22504.5,831377.OC,有友食品,做市转让
东北证券股份有限公司,产业用纺织品,8475.8333,31800.0,耐用消费品与服装,非高新产业区,纺织业,2014-11-19,,3.0,2016-04-14 00:00:00,,10600.0,831336.OC,苏丝股份,协议转让
方正证券股份有限公司,生物诊断试剂,1643.3686,10000.0,制药、生物科技与生命科学,上海张江高新技术产业开发区,医药制造业,2014-11-19,,4.0,2016-04-14 00:00:00,,2500.0,831364.OC,丰汇医学,协议转让
财达证券有限责任公司,调味品,3886.405,25174.0,食品、饮料与烟草,非高新产业区,食品制造业,2014-11-19,,3.07,2016-04-14 00:00:00,,8200.0,831367.OC,红山河,做市转让
安信证券股份有限公司,专用设备与零部件,3452.0725,37500.0,资本货物,非高新产业区,通用设备制造业,2014-11-18,,5.0,2016-02-02 00:00:00,,7500.0,831358.OC,新华环保,协议转让
招商证券股份有限公司,氢气、无机化工原料,5976.6664,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2014-11-18,,,,,8000.0,831359.OC,恒光股份,协议转让
