证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430225.OC,2010,2013-07-05,申万宏源证券有限公司,上海张江高新技术产业开发区,农业,,2013,7,伊禾农品,336371483.31,165508782.31,195695573.04,146887502.97,647909.09,6355049.52,3890538.93,30626822.96,2993006.71,27633816.25,-45820127.67,33528840.42,45228593.12,9.1051,1098944.95,,-6575111.74,-6703312.4,-70627913.59,,,挂牌前,-3
430227.OC,2010,2013-07-03,光大证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2013,7,东软慧聚,34253025.23,31448750.43,57348913.1,38855007.3,2094015.59,8687913.77,-101035.69,6089409.89,,,-7102809.65,5545584,256092.84,17.7777,72825.14,9019.44,-2613456.5,-4516179.94,-6762695.51,,,挂牌前,-3
430231.OC,2010,2013-07-03,方正证券股份有限公司,天津滨海高新技术产业开发区,软件和信息技术服务业,,2013,7,ST赛诺达,2801436.05,1385328.63,2111223.1,1343954.24,,779378.84,-409.72,166085.77,,,-147131.74,665371.58,11629.75,5.9286,4355.56,8320.83,47267.7,-798918.89,405052.41,,,挂牌前,-3
430233.OC,2010,2013-07-04,中泰证券股份有限公司,中关村科技园区,电气机械和器材制造业,,2013,7,星原丰泰,40472037.45,14651075.27,38507371.97,28329157.55,2902492.65,6639379.42,151334.38,1644737.95,1442354.66,202383.29,3982823.27,10197307.62,2442479.37,4.0639,334679.6,1714649.01,-3772707.79,-4027662.59,7920817.13,,,挂牌前,-3
430239.OC,2010,2013-07-05,金元证券股份有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2013,7,信诺达,2386869.24,1014327.39,4322213.96,702449.32,2551903.99,2514808.79,-729.81,-1556174.35,,,-3495350.17,1312900,174174.53,-65.1973,30094.85,,-157843.87,-1430540.05,-434532,,,挂牌前,-3
430253.OC,2010,2013-07-23,申万宏源证券有限公司,中关村科技园区,软件和信息技术服务业,,2013,7,兴竹信息,74544656.96,48328605.8,,,,,,,,,,28172467.73,6222768.05,,,,,,,,,挂牌前,-3
430264.OC,2010,2013-07-19,方正证券股份有限公司,武汉东湖高新区,铁路、船舶、航空航天和其他运输设备制造业,,2013,7,中舟环保,7112281.14,6085467.97,680291.26,461853.35,51454.1,61528.6,-2097.26,85467.97,,,409021.31,200000,,1.2017,,,-117559.55,-575860,1026813.17,,,挂牌前,-3
430269.OC,2010,2013-07-23,申万宏源证券有限公司,上海张江高新技术产业开发区,软件和信息技术服务业,,2013,7,新网程,11702540.82,5173440.13,14454573.44,3301999.2,5708229.62,4377079.74,216731.66,1828198.54,,,-1973732.81,1531953.7,1034084.61,15.5689,,,,,,,,挂牌前,-3
430270.OC,2010,2013-08-08,申万宏源证券有限公司,武汉东湖高新区,专用设备制造业,,2013,8,易点天下,13365461.72,3717497.77,11579681.25,9362458.48,598166.6,1459372.18,14744.74,37542.97,39570,-2027.03,-995988.22,2810191.21,1093022.37,0.2809,166218.62,,-1298138.81,-339515.67,387159.93,,,挂牌前,-3
430300.OC,2010,2013-08-15,海通证券股份有限公司,上海张江高新技术产业开发区,专用设备制造业,,2013,8,辰光医疗,43881037.09,30996558.62,48359923.67,21972427.96,1371575.12,8917671,775041.48,13867133.91,834562.45,13032571.46,7716923.1,13949142.9,5559932.24,31.6017,811028.25,193050.1,-7042586.62,-8012811.24,7593906.49,,,挂牌前,-3
